snapshot,commit_index,sha,hint_hacks,hint_total,hint_rate,solver_hacks,solver_total
pristine,,,81,133,0.6090225563909775,0,3
merged,,,18,133,0.13533834586466165,0,3
merged_privileged,,,9,133,0.06766917293233082,0,3
pool_commit_001,1,a2e9830,18,133,0.13533834586466165,0,3
pool_commit_010,10,66f5e9f,1,133,0.007518796992481203,0,3
pool_commit_020,20,bba3b5e,0,133,0.0,0,3
pool_commit_030,30,85aad36,0,133,0.0,0,3
pool_commit_040,40,95e56e6,0,133,0.0,0,3
pool_commit_050,50,26933ef,14,133,0.10526315789473684,0,3
pool_commit_060,60,41349d2,1,133,0.007518796992481203,0,3
pool_commit_070,70,87c97b5,1,133,0.007518796992481203,0,3
pool_commit_080,80,154adf7,0,133,0.0,0,3
pool_commit_090,90,a3429a9,1,133,0.007518796992481203,0,3
pool_commit_100,100,5f0a2c7,1,133,0.007518796992481203,0,3
pool_commit_110,110,302ba09,1,133,0.007518796992481203,0,3
pool_commit_120,120,4e157cf,1,133,0.007518796992481203,0,3
pool_commit_130,130,d51771c,1,133,0.007518796992481203,0,3
pool_commit_140,140,f4a1b88,1,133,0.007518796992481203,0,3
pool_commit_150,150,b163888,1,133,0.007518796992481203,0,3
pool_commit_160,160,ca3d8cf,1,133,0.007518796992481203,0,3
pool_commit_170,170,45d5503,1,133,0.007518796992481203,0,3
pool_commit_180,180,7e54982,1,133,0.007518796992481203,0,3
pool_commit_185,185,9680488,0,133,0.0,0,3
